,birth_date,job,marital,education,default,housing,loan,contact_date,contact,campaign,pdays,previous,poutcome,y
0,1957-08-23,blue-collar,married,basic.4y,unknown,no,no,2009-05-06,cellular,3,999,0,nonexistent,0
1,1957-07-02,admin.,married,university.degree,unknown,yes,no,2008-07-24,cellular,11,999,0,nonexistent,0
2,1970-05-12,admin.,divorced,high.school,no,no,no,2008-05-09,telephone,1,999,0,nonexistent,0
3,1960-08-24,management,single,university.degree,no,yes,yes,2009-05-05,cellular,1,999,1,failure,0
4,1963-05-23,services,married,high.school,no,yes,no,2008-06-03,telephone,7,999,0,nonexistent,0
5,1975-05-23,technician,married,professional.course,no,yes,yes,2008-08-21,cellular,2,999,0,nonexistent,0
6,1963-04-02,entrepreneur,married,university.degree,unknown,no,no,2008-06-27,telephone,5,999,0,nonexistent,0
7,1974-04-09,admin.,single,basic.9y,no,yes,no,2009-05-12,telephone,6,999,0,nonexistent,0
8,1975-10-19,blue-collar,married,basic.4y,no,no,no,2008-07-10,cellular,1,999,0,nonexistent,0
9,1981-06-13,admin.,single,university.degree,no,yes,yes,2008-07-30,cellular,1,999,0,nonexistent,0
10,1976-09-03,technician,single,professional.course,no,yes,no,2008-08-06,cellular,1,999,0,nonexistent,0
11,1972-08-28,admin.,married,high.school,no,yes,yes,2008-11-25,telephone,3,999,0,nonexistent,0
12,1978-06-07,admin.,married,university.degree,no,no,no,2008-08-11,cellular,1,999,0,nonexistent,0
13,1983-10-07,admin.,married,high.school,no,no,no,2008-07-21,cellular,4,999,0,nonexistent,0
14,1961-11-15,management,married,university.degree,no,yes,no,2008-11-11,cellular,2,999,0,nonexistent,0
15,1953-11-12,admin.,married,university.degree,no,no,no,2008-07-14,cellular,4,999,0,nonexistent,0
16,1970-08-11,blue-collar,single,basic.4y,no,yes,no,2008-05-26,telephone,2,999,0,nonexistent,0
17,1952-08-27,blue-collar,married,basic.6y,unknown,yes,no,2009-05-19,cellular,4,999,0,nonexistent,0
18,1967-12-07,blue-collar,married,basic.4y,unknown,yes,no,2009-04-10,cellular,1,999,0,nonexistent,0
19,1968-02-27,services,married,professional.course,no,no,yes,2008-11-27,cellular,3,999,0,nonexistent,0
20,1976-06-03,blue-collar,married,basic.9y,unknown,no,no,2008-07-31,cellular,1,999,0,nonexistent,0
21,1969-03-29,services,divorced,high.school,no,yes,no,2009-04-15,cellular,1,999,0,nonexistent,0
22,1977-10-28,unemployed,married,university.degree,no,yes,no,2010-07-16,telephone,1,999,0,nonexistent,0
23,1959-12-05,management,married,university.degree,no,no,no,2008-11-25,cellular,1,999,1,failure,0
24,1977-07-27,admin.,married,university.degree,no,yes,no,2009-05-08,cellular,2,999,0,nonexistent,0
25,1974-08-28,technician,married,high.school,unknown,yes,no,2008-07-04,cellular,1,999,0,nonexistent,0
26,1978-06-09,blue-collar,married,basic.9y,no,yes,no,2009-04-23,cellular,2,999,1,failure,0
27,1959-08-27,blue-collar,married,basic.6y,no,yes,yes,2008-08-18,cellular,3,999,0,nonexistent,0
28,1981-04-19,technician,single,professional.course,no,no,no,2009-05-13,cellular,1,999,0,nonexistent,0
29,1979-05-07,admin.,married,high.school,no,no,no,2008-06-16,telephone,1,999,0,nonexistent,0
30,1958-10-24,self-employed,divorced,university.degree,no,yes,no,2008-11-13,cellular,1,999,1,failure,0
31,1962-08-01,unknown,married,basic.4y,unknown,no,no,2008-05-06,telephone,2,999,0,nonexistent,0
32,1949-03-01,entrepreneur,married,unknown,no,no,no,2008-06-17,telephone,2,999,0,nonexistent,0
33,1972-04-28,services,married,professional.course,no,yes,yes,2008-08-19,cellular,3,999,0,nonexistent,0
34,1960-05-10,blue-collar,married,high.school,no,yes,yes,2008-06-26,telephone,3,999,0,nonexistent,1
35,1964-06-18,unknown,single,basic.9y,unknown,yes,no,2008-05-06,telephone,1,999,0,nonexistent,0
36,1974-08-01,blue-collar,divorced,basic.9y,no,no,no,2009-05-05,cellular,1,999,0,nonexistent,0
37,1962-07-30,management,married,high.school,no,no,no,2008-11-07,cellular,3,999,0,nonexistent,0
38,1955-08-21,blue-collar,married,basic.4y,unknown,yes,yes,2008-07-25,telephone,7,999,0,nonexistent,0
39,1972-06-21,blue-collar,married,basic.4y,no,no,no,2008-05-08,telephone,2,999,0,nonexistent,0
40,1973-11-01,technician,single,professional.course,no,no,no,2008-11-19,cellular,1,999,0,nonexistent,0
41,1982-06-22,blue-collar,single,professional.course,no,no,no,2008-07-28,cellular,6,999,0,nonexistent,0
42,1964-05-31,admin.,married,high.school,no,no,no,2008-07-24,cellular,3,999,0,nonexistent,0
43,1975-08-29,admin.,married,high.school,no,yes,no,2008-06-30,telephone,3,999,0,nonexistent,0
44,1960-07-26,technician,married,unknown,no,yes,no,2008-05-26,telephone,1,999,0,nonexistent,0
45,1975-04-13,admin.,single,university.degree,no,no,no,2008-08-21,cellular,1,999,0,nonexistent,0
46,1952-07-10,blue-collar,married,basic.4y,unknown,no,no,2008-06-13,telephone,2,999,0,nonexistent,1
